product_id,category,image_path,anchor
RR-501,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(1).jpg,#prod1
RR-502,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(2).jpg,#prod2
RR-503,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(3).jpg,#prod3
RR-504,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(4).jpg,#prod4
RR-505,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(5).jpg,#prod5
RR-506,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(6).jpg,#prod6
RR-507,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(7).jpg,#prod7
RR-508,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(8).jpg,#prod8
RR-509,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(9).jpg,#prod9
RR-510,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(10).jpg,#prod10
RR-511,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(11).jpg,#prod11
RR-512,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(12).jpg,#prod12
RR-513,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(13).jpg,#prod13
RR-514,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(14).jpg,#prod14
RR-515,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(15).jpg,#prod15
RR-516,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(16).jpg,#prod16
RR-517,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(17).jpg,#prod17
RR-518,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(18).jpg,#prod18
RR-519,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(19).jpg,#prod19
RR-520,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(20).jpg,#prod20
RR-521,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(21).jpg,#prod21
RR-522,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(22).jpg,#prod22
RR-523,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(23).jpg,#prod23
RR-524,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(24).jpg,#prod24
RR-525,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(25).jpg,#prod25
RR-526,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(26).jpg,#prod26
RR-527,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(27).jpg,#prod27
RR-528,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(1).png,#prod28
RR-529,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(2).png,#prod29
RR-530,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(3).png,#prod30
RR-531,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(4).png,#prod31
RR-532,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(5).png,#prod32
RR-533,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(6).png,#prod33
RR-534,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(7).png,#prod34
RR-535,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(8).png,#prod35
RR-536,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(9).png,#prod36
RR-537,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(10).png,#prod37
RR-538,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(11).png,#prod38
RR-539,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(12).png,#prod39
RR-540,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(13).png,#prod40
RR-541,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(14).png,#prod41
RR-542,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(15).png,#prod42
RR-543,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(16).png,#prod43
RR-544,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(17).png,#prod44
RR-545,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(18).png,#prod45
RR-546,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(19).png,#prod46
RR-547,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(20).png,#prod47
RR-548,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(21).png,#prod48
RR-549,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(22).png,#prod49
RR-550,Essential,../wp-content/uploads/2024/RRimage/sofa/essentials/(23).png,#prod50
RR-551,Prime,../wp-content/uploads/2024/RRimage/sofa/prime/%20(1).jpg,#prod551
RR-552,Prime,../wp-content/uploads/2024/RRimage/sofa/prime/%20(2).jpg,#prod552
RR-553,Prime,../wp-content/uploads/2024/RRimage/sofa/prime/%20(3).jpg,#prod553
RR-554,Prime,../wp-content/uploads/2024/RRimage/sofa/prime/%20(4).jpg,#prod554
